Descrição,URL,Preço
Estúdio Completo Próximo ao Bairro da Liberdade  !,www.airbnb.com.br/rooms/45360756?adults=2&children=0&infants=0&pets=0&check_in=2022-11-16&check_out=2022-11-21&previous_page_section_name=1000,"R$118 por noite, originalmente R$160"
VNBR0915 Apartamento minimalista no Bom Retiro,www.airbnb.com.br/rooms/42380893?adults=2&children=0&infants=0&pets=0&check_in=2022-11-18&check_out=2022-11-24&previous_page_section_name=1000,"R$136 por noite, originalmente R$158"
BA4 Studio Lindo Novo Moderno Bela Vista Centro SP,www.airbnb.com.br/rooms/41985509?adults=2&children=0&infants=0&pets=0&check_in=2022-12-08&check_out=2022-12-13&previous_page_section_name=1000,R$223 por noite
"96 M Apartamento,  metrô Brás, lazer top, desconto",www.airbnb.com.br/rooms/54378961?adults=2&children=0&infants=0&pets=0&check_in=2022-11-24&check_out=2022-11-29&previous_page_section_name=1000,R$126 por noite
Aurora Centro 1408 da MOVINN | Estúdio 32 m²,www.airbnb.com.br/rooms/48879018?adults=2&children=0&infants=0&pets=0&check_in=2022-11-21&check_out=2022-11-26&previous_page_section_name=1000,R$131 por noite
Loft Paulista TOP I,www.airbnb.com.br/rooms/29854018?adults=2&children=0&infants=0&pets=0&check_in=2023-01-16&check_out=2023-01-21&previous_page_section_name=1000,R$214 por noite
Studio centro de SP / vista - Praça da República,www.airbnb.com.br/rooms/42447016?adults=2&children=0&infants=0&pets=0&check_in=2022-12-04&check_out=2022-12-09&previous_page_section_name=1000,R$185 por noite
"1217_Apto maravilhoso, clean ao lado do metrô!",www.airbnb.com.br/rooms/582689181967956801?adults=2&children=0&infants=0&pets=0&check_in=2022-11-20&check_out=2022-11-26&previous_page_section_name=1000,"R$156 por noite, originalmente R$182"
Estúdio lindo com 2 camas individuais em São Paulo,www.airbnb.com.br/rooms/707151213768835143?adults=2&children=0&infants=0&pets=0&check_in=2022-11-18&check_out=2022-11-23&previous_page_section_name=1000,"R$150 por noite, originalmente R$167"
Apartamento Studio novo -07 min Metrô Higienópolis,www.airbnb.com.br/rooms/731933580036239040?adults=2&children=0&infants=0&pets=0&check_in=2022-12-19&check_out=2022-12-24&previous_page_section_name=1000,R$186 por noite
MV135A Studio Moderno Na Rua do Metrô Brás Completo,www.airbnb.com.br/rooms/51892127?adults=2&children=0&infants=0&pets=0&check_in=2022-12-07&check_out=2022-12-14&previous_page_section_name=1000,"R$129 por noite, originalmente R$159"
"Apartamento no Palacete Riachuelo, Centro SP",www.airbnb.com.br/rooms/27650144?adults=2&children=0&infants=0&pets=0&check_in=2022-11-15&check_out=2022-11-20&previous_page_section_name=1000,"R$125 por noite, originalmente R$150"
Centro de São Paulo - ADG,www.airbnb.com.br/rooms/44065462?adults=2&children=0&infants=0&pets=0&check_in=2022-11-20&check_out=2022-11-25&previous_page_section_name=1000,R$115 por noite
Studio Prédio Novo no Bom Retiro,www.airbnb.com.br/rooms/36875135?adults=2&children=0&infants=0&pets=0&check_in=2022-11-21&check_out=2022-11-28&previous_page_section_name=1000,"R$142 por noite, originalmente R$156"
"My space 1 Quarto com 2 ar condicionado, smarttv",www.airbnb.com.br/rooms/558095620460997500?adults=2&children=0&infants=0&pets=0&check_in=2022-12-01&check_out=2022-12-06&previous_page_section_name=1000,R$143 por noite
Studio Moderno na St. Cecília | Design & Conforto,www.airbnb.com.br/rooms/577425331507908672?adults=2&children=0&infants=0&pets=0&check_in=2022-11-15&check_out=2022-11-20&previous_page_section_name=1000,R$166 por noite
"Estudio novo com piscina, academia a 5 min metrô",www.airbnb.com.br/rooms/49632617?adults=2&children=0&infants=0&pets=0&check_in=2022-11-20&check_out=2022-11-25&previous_page_section_name=1000,R$146 por noite
OSCAR FREIRE 1948 - FLAT - COMFORT,www.airbnb.com.br/rooms/21468547?adults=2&children=0&infants=0&pets=0&check_in=2023-01-28&check_out=2023-02-04&previous_page_section_name=1000,"R$155 por noite, originalmente R$172"
Apartamento na Bela Vista - 203,www.airbnb.com.br/rooms/617931196396012564?adults=2&children=0&infants=0&pets=0&check_in=2022-12-05&check_out=2022-12-12&previous_page_section_name=1000,R$111 por noite
Studio Apolo 301 Aconchegante Ar Wi-Fi Equipado,www.airbnb.com.br/rooms/49466077?adults=2&children=0&infants=0&pets=0&check_in=2022-11-21&check_out=2022-11-26&previous_page_section_name=1000,R$130 por noite
